no,kota,usia,usiar,sex,didik,status,Media,puas_all,puas_lay,puas_kua,puas_pri
812,2,43,4,1,4,2,2,3,3,4,4
411,1,24,1,2,4,1,8,4,4,4,4
796,2,26,2,2,4,2,7,4,3,4,4
1176,3,46,5,2,4,2,1,4,4,4,4
1519,4,37,3,2,4,2,7,3,2,4,4
2287,6,38,4,2,4,2,5,4,4,4,4
2382,6,40,4,2,4,1,7,4,3,4,4
1276,4,48,5,2,4,2,5,4,4,4,4
338,1,32,3,1,4,2,1,4,4,4,4
562,1,23,1,2,4,2,8,4,4,4,4
1192,3,40,4,1,4,1,5,4,3,4,4
1195,3,32,3,1,4,2,2,4,4,4,4
1196,3,24,1,1,4,1,4,3,3,3,3
1610,4,45,5,2,4,2,7,4,4,4,4
1077,3,26,2,2,4,2,7,4,3,4,4
2314,6,44,5,2,4,3,7,4,4,4,4
2230,6,47,5,2,5,1,5,4,3,4,3
117,1,50,6,2,5,2,1,4,2,4,4
2218,6,33,3,2,5,2,3,4,4,4,4
113,1,26,2,1,5,1,6,5,4,4,4
181,1,43,4,1,5,2,4,4,4,4,4
97,1,34,3,1,5,2,5,4,4,4,4
144,1,30,2,1,5,2,7,4,4,3,5
199,1,31,2,2,5,2,7,4,4,4,4
650,2,25,1,2,5,2,1,4,3,3,4
1242,4,36,3,2,5,2,3,5,3,4,4
1462,4,26,2,1,5,1,3,3,3,3,3
2195,6,43,4,2,5,3,4,4,4,4,4
947,3,33,3,2,5,2,1,4,4,4,4
2216,6,23,1,2,5,1,1,4,4,4,4
127,1,47,5,2,5,2,3,4,4,4,4
2434,7,30,2,2,5,1,2,5,5,5,5
2459,7,26,2,2,5,2,7,5,4,4,4
32,1,25,1,1,5,1,8,3,3,4,3
118,1,42,4,1,5,2,4,3,3,3,3
150,1,36,3,1,5,2,5,4,3,4,4
161,1,35,3,1,5,2,4,4,4,4,4
183,1,25,1,1,5,1,8,4,4,4,4
187,1,50,6,2,5,2,2,3,2,4,4
245,1,42,4,1,5,2,5,4,4,4,4
601,2,25,1,1,5,1,8,4,3,4,4
991,3,25,1,1,5,1,3,4,4,4,4
1028,3,37,3,2,5,2,4,3,3,3,3
1285,4,34,3,1,5,2,5,4,4,4,4
1303,4,25,1,2,5,2,4,3,3,3,3
1319,4,28,2,2,5,1,3,4,3,4,4
1332,4,37,3,2,5,2,2,4,4,4,4
1367,4,24,1,1,5,2,8,4,3,4,4
1402,4,36,3,1,5,2,4,4,4,4,4
1426,4,39,4,1,5,2,6,4,4,4,4
1471,4,38,4,2,5,2,3,4,4,4,4
1475,4,22,1,1,5,1,4,4,4,4,4
1483,4,27,2,2,5,2,1,4,4,4,4
1488,4,33,3,1,5,2,4,4,4,4,4
2112,6,25,1,2,5,1,5,5,5,4,4
2143,6,33,3,2,5,1,5,4,4,4,4
2150,6,39,4,2,5,2,8,4,4,4,4
2154,6,24,1,2,5,1,3,4,3,4,4
2169,6,40,4,2,5,2,6,3,3,3,3
2174,6,22,1,2,5,1,4,4,4,4,4
2183,6,40,4,1,5,2,7,3,3,3,3
2209,6,30,2,2,5,2,8,4,4,4,4
2425,7,26,2,1,5,1,5,4,4,4,4
2462,7,35,3,2,5,1,8,5,5,5,5
2526,7,26,2,2,5,1,5,5,5,5,5
2529,7,35,3,2,5,2,6,4,4,4,4
2544,7,45,5,2,5,2,5,5,5,5,5
1761,4,22,1,1,5,2,8,4,3,4,4
1783,4,28,2,2,5,1,4,4,4,4,4
1511,4,31,2,1,5,2,3,4,4,4,4
1699,4,42,4,2,5,2,6,4,4,4,4
1714,4,36,3,1,5,2,7,4,4,4,4
1726,4,25,1,1,5,1,3,3,2,3,3
1774,4,34,3,2,5,2,3,2,3,4,3
1784,4,32,3,2,5,2,3,4,4,4,4
2269,6,22,1,2,5,1,3,4,4,4,4
2623,7,23,1,1,5,1,7,4,3,3,3
586,1,37,3,1,5,2,8,4,4,4,4
1083,3,22,1,2,5,1,2,4,4,4,4
1720,4,26,2,1,5,1,5,4,3,4,4
1798,4,26,2,1,5,1,1,4,4,4,4
2379,6,45,5,1,5,2,2,5,5,5,5
391,1,38,4,2,5,2,2,5,4,3,4
580,1,23,1,2,5,1,2,3,4,3,4
813,2,38,4,2,5,2,8,4,4,4,4
1154,3,50,6,1,5,2,6,4,4,4,4
1164,3,28,2,2,5,1,5,4,3,4,4
1175,3,30,2,1,5,2,6,4,4,4,4
1183,3,35,3,1,5,2,6,4,3,4,4
1199,3,40,4,2,5,3,4,4,4,3,3
1600,4,28,2,2,5,2,8,3,2,3,3
2654,7,47,5,2,5,2,3,4,4,4,4
2676,7,26,2,1,5,1,7,3,3,3,3
2677,7,30,2,1,5,2,7,4,4,4,4
1388,4,38,4,1,5,2,6,4,4,4,4
443,1,46,5,2,5,2,1,4,4,4,4
1645,4,41,4,2,5,2,6,4,3,3,3
488,1,24,1,2,5,1,6,3,3,4,4
1623,4,54,6,1,5,3,5,3,2,3,3
1315,4,38,4,1,5,2,1,4,4,4,4
764,2,35,3,1,5,2,5,4,4,4,4
1188,3,40,4,2,5,2,1,4,4,4,4
1629,4,35,3,1,5,2,6,4,3,4,4
1657,4,39,4,2,5,2,5,3,3,4,3
2267,6,40,4,1,5,2,4,4,4,4,4
2346,6,24,1,2,5,1,7,4,4,4,4
2357,6,28,2,1,5,1,3,4,3,4,4
2556,7,25,1,1,5,1,7,4,4,4,4
2557,7,39,4,2,5,1,7,4,4,4,4
2571,7,31,2,1,5,1,3,4,3,4,3
1066,3,31,2,1,5,2,8,5,4,4,4
1731,4,30,2,1,5,2,5,4,4,4,4
1766,4,26,2,1,5,1,8,4,3,3,3
740,2,45,5,1,6,2,2,5,2,4,4
918,3,37,3,1,6,2,2,4,4,3,4
1412,4,46,5,2,6,2,1,3,3,3,3
2446,7,28,2,1,6,1,3,4,4,4,4
2508,7,58,7,1,6,2,8,3,3,3,3
2644,7,33,3,2,6,2,1,5,5,5,5
781,2,42,4,2,6,2,6,4,4,4,4
